Ticker,Name,Sector,P/B Ratio,NCA/BV Ratio,Equity Ratio %
9539.T,"KEIYO GAS CO.,LTD.",Electric Power and Gas,0.39,0.127,56.78
9504.T,"The Chugoku Electric Power Company,Incorporated",Electric Power and Gas,0.41,0.086,16.22
9509.T,"Hokkaido Electric Power Company,Incorporated",Electric Power and Gas,0.41,-0.185,17.47
7162.T,"ASTMAX Co.,Ltd.",Electric Power and Gas,0.46,0.583,33.7
9506.T,"Tohoku Electric Power Company,Incorporated",Electric Power and Gas,0.47,-0.01,18.25
9513.T,"Electric Power Development Co.,Ltd.",Electric Power and Gas,0.48,0.195,36.42
9519.T,"RENOVA,Inc.",Electric Power and Gas,0.6,0.622,16.81
9507.T,"Shikoku Electric Power Company,Incorporated",Electric Power and Gas,0.63,0.232,25.96
9508.T,"Kyushu Electric Power Company,Incorporated",Electric Power and Gas,0.65,-0.168,17.31
9502.T,"Chubu Electric Power Company,Incorporated",Electric Power and Gas,0.68,-0.04,39.11
9534.T,"HOKKAIDO GAS CO.,LTD.",Electric Power and Gas,0.69,0.063,44.18
9543.T,"SHIZUOKA GAS CO.,LTD.",Electric Power and Gas,0.69,0.292,67.04
9536.T,"SAIBU GAS HOLDINGS CO.,LTD.",Electric Power and Gas,0.7,0.014,23.19
9503.T,"The Kansai Electric Power Company,Incorporated",Electric Power and Gas,0.75,0.095,31.76
1376.T,"KANEKO SEEDS CO.,LTD.","Fishery, Agriculture and Forestry",0.62,0.611,50.72
1301.T,"KYOKUYO CO.,LTD.","Fishery, Agriculture and Forestry",0.66,0.891,36.52
1333.T,Umios Corporation,"Fishery, Agriculture and Forestry",0.76,0.774,33.7
1381.T,"AXYZ CO.,Ltd.","Fishery, Agriculture and Forestry",0.89,0.469,86.14
1379.T,HOKUTO CORPORATION,"Fishery, Agriculture and Forestry",0.91,0.243,52.78
1377.T,SAKATA SEED CORPORATION,"Fishery, Agriculture and Forestry",1.02,0.582,84.46
1332.T,Nissui Corporation,"Fishery, Agriculture and Forestry",1.26,0.384,43.64
1382.T,"HOB Co.,Ltd.","Fishery, Agriculture and Forestry",1.5,1.029,70.69
1384.T,"Hokuryo Co.,Ltd.","Fishery, Agriculture and Forestry",1.76,0.229,73.65
1380.T,"AKIKAWA FOODS & FARMS CO.,LTD.","Fishery, Agriculture and Forestry",1.91,0.112,30.62
1383.T,"Berg Earth co.,ltd.","Fishery, Agriculture and Forestry",2.19,0.382,34.92
1375.T,"YUKIGUNI FACTORY CO.,LTD.","Fishery, Agriculture and Forestry",3.01,0.162,32.66
2055.T,"NICHIWA SANGYO CO.,LTD.",Foods,0.3,0.68,61.39
2917.T,"OHMORIYA Co.,LTD.",Foods,0.39,0.685,48.94
4404.T,"Miyoshi Oil & Fat Co.,Ltd.",Foods,0.43,0.322,50.65
2221.T,"IWATSUKA CONFECTIONERY CO.,LTD.",Foods,0.45,0.108,74.59
2215.T,"FIRST BAKING CO.,LTD.",Foods,0.47,0.422,52.34
2911.T,"ASAHIMATSU FOODS CO.,LTD.",Foods,0.49,0.454,80.04
2286.T,"Hayashikane Sangyo Co.,Ltd.",Foods,0.52,0.395,42.67
2877.T,NittoBest Corporation,Foods,0.54,0.254,40.3
2806.T,YUTAKA FOODS CORPORATION,Foods,0.56,0.381,87.37
2112.T,"Ensuiko Sugar Refining Co.,Ltd.",Foods,0.57,0.109,56.52
2907.T,"AHJIKAN CO.,LTD.",Foods,0.58,0.315,64.65
2613.T,"J-OIL MILLS, INC.",Foods,0.61,0.604,62.18
2908.T,"FUJICCO CO.,LTD.",Foods,0.61,0.375,86.36
2266.T,"ROKKO BUTTER CO.,LTD.",Foods,0.62,0.35,54.68
2292.T,S Foods Inc.,Foods,0.63,0.573,52.53
2892.T,"NIHON SHOKUHIN KAKO CO.,LTD.",Foods,0.63,0.446,52.98
2916.T,"Semba Tohka Industries Co.,Ltd",Foods,0.63,0.379,57.33
2291.T,"FUKUTOME MEAT PACKERS,LTD.",Foods,0.65,-1.353,14.74
2819.T,"EBARA Foods Industry,Inc.",Foods,0.65,0.554,72.22
2831.T,HAGOROMO FOODS CORPORATION,Foods,0.66,0.419,60.21
5380.T,SHINTO COMPANY LIMITED,Glass and Ceramics Products,0.25,0.013,52.86
5204.T,"ISHIZUKA GLASS CO.,LTD.",Glass and Ceramics Products,0.33,0.603,33.77
5269.T,"NIPPON CONCRETE INDUSTRIES CO.,LTD.",Glass and Ceramics Products,0.39,0.218,47.85
5279.T,"NIHON KOGYO CO.,LTD.",Glass and Ceramics Products,0.4,0.212,48.82
5202.T,"Nippon Sheet Glass Company,Limited",Glass and Ceramics Products,0.45,-0.798,10.46
5391.T,A&A Material Corporation,Glass and Ceramics Products,0.46,0.287,45.68
5282.T,GEOSTR Corporation,Glass and Ceramics Products,0.47,0.559,64.65
5210.T,"Nihon Yamamura Glass Co.,Ltd.",Glass and Ceramics Products,0.49,0.383,57.75
5368.T,"JAPAN INSULATION CO.,LTD.",Glass and Ceramics Products,0.54,0.626,76.91
5237.T,NOZAWA CORPORATION,Glass and Ceramics Products,0.62,0.485,68.34
5304.T,"SEC CARBON,LIMITED",Glass and Ceramics Products,0.62,0.574,90.65
5363.T,TYK CORPORATION,Glass and Ceramics Products,0.65,0.699,69.13
5388.T,"KUNIMINE INDUSTRIES CO.,LTD.",Glass and Ceramics Products,0.68,0.703,83.39
5233.T,TAIHEIYO CEMENT CORPORATION,Glass and Ceramics Products,0.7,0.027,45.07
5271.T,"TOYO ASANO FOUNDATION CO.,LTD.",Glass and Ceramics Products,0.7,0.178,26.97
5355.T,"Nippon Crucible Co.,Ltd.",Glass and Ceramics Products,0.71,0.508,49.89
5218.T,OHARA INC.,Glass and Ceramics Products,0.74,0.583,77.64
5287.T,"ITO YOGYO CO.,LTD.",Glass and Ceramics Products,0.77,0.275,63.08
5351.T,"SHINAGAWA REFRA CO.,LTD.",Glass and Ceramics Products,0.8,0.551,45.59
7943.T,NICHIHA CORPORATION,Glass and Ceramics Products,0.81,0.411,70.26
351A.T,AXIS IT Partners Corp.,Information & Communication,0.32,0.792,64.34
4839.T,WOWOW INC.,Information & Communication,0.4,0.575,67.69
9405.T,ASAHI BROADCASTING GROUP HOLDINGS CORPORATION,Information & Communication,0.4,0.379,59.57
3787.T,"Techno Mathematical Co.,Ltd.",Information & Communication,0.42,0.529,95.6
2138.T,"CROOZ,Inc.",Information & Communication,0.43,0.893,31.16
9444.T,"TOSHIN HOLDINGS CO.,LTD",Information & Communication,0.48,-1.867,9.74
2484.T,"DEMAE-CAN CO.,LTD",Information & Communication,0.51,0.992,73.69
4494.T,Vario Secure Inc.,Information & Communication,0.51,0.186,80.48
3851.T,"Nippon Ichi Software,Inc.",Information & Communication,0.52,0.623,70.54
3627.T,TECMIRA HOLDINGS INC.,Information & Communication,0.54,0.575,56.93
3758.T,Aeria Inc.,Information & Communication,0.54,0.977,40.29
9685.T,"KYCOM HOLDINGS CO.,LTD.",Information & Communication,0.54,0.376,56.37
4199.T,WonderPlanet Inc.,Information & Communication,0.56,1.688,30.0
4170.T,"Kaizen Platform,Inc.",Information & Communication,0.58,0.941,69.87
3903.T,gumi Inc.,Information & Communication,0.59,0.626,71.04
9475.T,"Shobunsha Holdings,Inc.",Information & Communication,0.6,0.462,70.7
3760.T,"CAVE Interactive CO.,LTD.",Information & Communication,0.62,0.894,46.96
9408.T,"BSN MEDIA HOLDINGS,INC.",Information & Communication,0.63,0.451,72.62
3639.T,Voltage Incorporation,Information & Communication,0.65,0.766,76.69
3710.T,"Jorudan Co.,Ltd.",Information & Communication,0.65,0.687,83.3
7181.T,"JAPAN POST INSURANCE Co.,Ltd.",Insurance,0.4,N/A,5.44
7326.T,"SBI Insurance Group Co.,Ltd.",Insurance,1.09,N/A,19.48
8630.T,"Sompo Holdings,Inc.",Insurance,1.09,N/A,26.46
8725.T,"MS&AD Insurance Group Holdings,Inc.",Insurance,1.38,N/A,15.25
7157.T,LIFENET INSURANCE COMPANY,Insurance,1.41,N/A,79.28
8795.T,"T&D Holdings, Inc.",Insurance,1.46,N/A,9.31
7325.T,IRRC Corporation,Insurance,1.47,0.435,70.04
8729.T,Sony Financial Group Inc.,Insurance,1.5,N/A,N/A
8750.T,"Daiichi Life Group,Inc.",Insurance,1.54,N/A,4.99
7343.T,"Broad-Minded Co.,Ltd.",Insurance,1.67,0.65,73.64
8766.T,"Tokio Marine Holdings,Inc.",Insurance,2.49,N/A,16.25
8715.T,"Anicom Holdings,Inc.",Insurance,3.25,N/A,38.72
7388.T,FP Partner Inc.,Insurance,4.54,0.385,64.24
8798.T,"Advance Create Co.,Ltd.",Insurance,8.26,2.367,5.44
5491.T,"NIPPON KINZOKU CO.,LTD.",Iron and Steel,0.19,0.348,39.85
5446.T,"HOKUETSU METAL Co.,Ltd.",Iron and Steel,0.26,0.37,66.67
5603.T,KOGI CORPORATION,Iron and Steel,0.26,0.576,42.58
5410.T,"Godo Steel,Ltd.",Iron and Steel,0.27,0.42,52.84
5658.T,"NICHIA STEEL WORKS,LTD.",Iron and Steel,0.3,0.465,71.62
5408.T,"NAKAYAMA STEEL WORKS,LTD.",Iron and Steel,0.31,0.614,71.61
5440.T,KYOEI STEEL LTD.,Iron and Steel,0.36,0.532,57.53
5609.T,NIPPON CHUZO K.K.,Iron and Steel,0.37,0.395,53.23
5411.T,"JFE Holdings,Inc.",Iron and Steel,0.39,0.354,44.79
5697.T,"SANYU CO.,LTD.",Iron and Steel,0.4,0.571,51.07
5660.T,"KOBELCO WIRE COMPANY,LTD.",Iron and Steel,0.43,0.535,54.49
5612.T,NIPPON CHUTETSUKAN K.K.,Iron and Steel,0.5,0.449,41.75
5401.T,NIPPON STEEL CORPORATION,Iron and Steel,0.53,0.411,49.2
5464.T,MORY INDUSTRIES INC.,Iron and Steel,0.61,0.577,79.48
5406.T,"Kobe Steel,Ltd.",Iron and Steel,0.62,0.432,40.19
5449.T,"OSAKA STEEL CO.,LTD.",Iron and Steel,0.63,0.439,76.66
5480.T,"Nippon Yakin kogyo Co.,Ltd.",Iron and Steel,0.63,0.286,44.34
5541.T,"PACIFIC METALS CO.,LTD.",Iron and Steel,0.63,0.553,93.86
5695.T,"Powdertech Co.,Ltd.",Iron and Steel,0.67,0.527,80.82
7305.T,"ARAYA INDUSTRIAL CO.,LTD.",Iron and Steel,0.7,0.437,59.77
9063.T,"Okayamaken Freight Transportation CO.,LTD.",Land Transportation,0.3,0.002,49.32
9036.T,"TOHBU NETWORK CO.,LTD.",Land Transportation,0.33,0.218,81.89
9060.T,JAPAN LOGISTIC SYSTEMS CORP.,Land Transportation,0.35,-0.15,31.82
9017.T,"Niigata Kotsu Co.,Ltd.",Land Transportation,0.38,-0.746,33.73
9033.T,"Hiroshima Electric Railway Co.,Ltd.",Land Transportation,0.42,-0.371,40.08
9083.T,"Shinki Bus Co.,Ltd.",Land Transportation,0.42,0.049,73.75
9087.T,TAKASE CORPORATION,Land Transportation,0.5,0.242,77.23
9074.T,"Japan Oil Transportation Co.,Ltd.",Land Transportation,0.55,0.173,59.95
9012.T,"Chichibu Railway Co.,Ltd.",Land Transportation,0.57,-0.391,29.61
9022.T,Central Japan Railway Company,Land Transportation,0.61,0.252,44.56
9082.T,"Daiwa Motor Transportation Co.,Ltd.",Land Transportation,0.64,-0.438,30.68
9034.T,"NANSO Transport Co.,Ltd.",Land Transportation,0.65,0.078,65.66
9059.T,"Kanda Holdings Co.,Ltd.",Land Transportation,0.67,0.221,54.26
9081.T,"Kanagawa Chuo Kotsu Co.,Ltd.",Land Transportation,0.68,-0.434,34.89
9052.T,"Sanyo Electric Railway Co.,Ltd.",Land Transportation,0.69,-0.017,46.92
9048.T,"Nagoya Railroad Co., Ltd.",Land Transportation,0.73,-0.217,31.87
9031.T,"Nishi-Nippon Railroad Co.,Ltd.",Land Transportation,0.74,0.243,31.87
9073.T,"Kyogoku unyu shoji Co.,Ltd.",Land Transportation,0.74,0.057,51.65
9075.T,"FUKUYAMA TRANSPORTING CO.,LTD.",Land Transportation,0.75,-0.055,57.11
9046.T,"Kobe Electric Railway Co.,Ltd.",Land Transportation,0.76,-0.984,25.96
6467.T,NICHIDAI CORPORATION,Machinery,0.28,0.444,72.25
7021.T,"NITCHITSU CO.,LTD.",Machinery,0.29,0.393,69.6
6155.T,"TAKAMATSU MACHINERY CO.,LTD.",Machinery,0.31,0.591,74.3
6408.T,"OGURA CLUTCH CO.,LTD.",Machinery,0.32,0.51,37.65
6390.T,"KATO WORKS CO.,LTD.",Machinery,0.33,0.889,43.41
6317.T,Kitagawa Corporation,Machinery,0.34,0.386,50.89
6138.T,"DIJET INDUSTRIAL CO.,LTD.",Machinery,0.35,0.615,49.76
6218.T,ENSHU Limited,Machinery,0.35,0.562,34.81
6428.T,OIZUMI Corporation,Machinery,0.37,0.508,46.99
6222.T,"SHIMA SEIKI MFG.,LTD.",Machinery,0.38,0.728,78.18
6343.T,FREESIA MACROSS CORPORATION,Machinery,0.38,0.406,37.79
6425.T,Universal Entertainment Corporation,Machinery,0.38,0.399,34.71
6262.T,"PEGASUS CO.,LTD.",Machinery,0.39,0.717,70.01
6464.T,"TSUBAKI NAKASHIMA CO.,LTD.",Machinery,0.39,0.033,24.42
7991.T,"MAMIYA-OP CO.,LTD",Machinery,0.42,0.73,61.81
6292.T,"KAWATA MFG. CO.,LTD.",Machinery,0.44,0.835,52.23
6393.T,"YUKEN KOGYO CO.,LTD.",Machinery,0.44,0.705,51.48
6150.T,"TAKEDA MACHINERY CO.,LTD.",Machinery,0.46,0.711,68.47
6316.T,"MARUYAMA MFG.CO.,INC.",Machinery,0.46,0.37,52.67
6335.T,"TOKYO KIKAI SEISAKUSHO,LTD.",Machinery,0.47,1.062,56.24
9130.T,"KYOEI TANKER CO.,LTD.",Marine Transportation,0.41,-0.01,32.42
9115.T,"Meiji Shipping Group Co.,Ltd.",Marine Transportation,0.49,-0.015,16.28
9127.T,"TAMAI STEAMSHIP CO.,LTD",Marine Transportation,0.53,0.196,66.0
9171.T,"Kuribayashi Steamship Co.,Ltd.",Marine Transportation,0.61,0.261,37.36
9104.T,"Mitsui O.S.K.Lines,Ltd.",Marine Transportation,0.63,0.017,53.9
9101.T,Nippon Yusen Kabushiki Kaisha,Marine Transportation,0.68,0.059,67.56
9110.T,"NS United Kaiun Kaisha,Ltd.",Marine Transportation,0.86,0.438,56.52
9107.T,"Kawasaki Kisen Kaisha,Ltd.",Marine Transportation,0.87,0.12,74.59
9119.T,"IINO KAIUN KAISHA,LTD.",Marine Transportation,0.94,-0.18,47.48
9308.T,"Inui Global Logistics Co.,Ltd.",Marine Transportation,1.01,0.33,49.23
9173.T,"Tokai Kisen Co.,Ltd.",Marine Transportation,1.28,0.348,25.43
5932.T,"Sankyo Tateyama,Inc.",Metal Products,0.2,0.282,30.37
7985.T,NEPON Inc.,Metal Products,0.28,0.812,38.73
5918.T,"The Takigami Steel Construction Co.,Ltd.",Metal Products,0.29,0.308,67.42
3422.T,"J-MAX Co.,Ltd.",Metal Products,0.3,0.027,32.2
3434.T,ALPHA Corporation,Metal Products,0.3,0.394,52.32
3439.T,Mitsuchi Corporation,Metal Products,0.3,0.579,60.68
5915.T,KOMAIHALTEC Inc.,Metal Products,0.3,0.753,45.91
5994.T,"FINE SINTER CO.,LTD.",Metal Products,0.3,-0.004,29.47
5956.T,"TOSO CO.,LTD.",Metal Products,0.31,0.7,66.2
5973.T,TOAMI CORPORATION,Metal Products,0.32,0.268,56.44
5984.T,KANEFUSA CORPORATION,Metal Products,0.32,0.537,79.43
5986.T,"MOLITEC STEEL CO.,LTD.",Metal Products,0.32,0.51,39.81
5900.T,"DAIKEN CO.,LTD.",Metal Products,0.34,0.532,80.83
5940.T,"FUJISASH CO.,LTD.",Metal Products,0.34,0.507,27.73
5909.T,CORONA CORPORATION,Metal Products,0.36,0.391,74.62
5921.T,"Kawagishi Bridge Works Co.,Ltd.",Metal Products,0.37,0.705,82.75
5970.T,G-TEKT CORPORATION,Metal Products,0.4,0.323,61.61
5997.T,KYORITSU AIR TECH INC.,Metal Products,0.4,0.415,62.64
5928.T,"ALMETAX MANUFACTURING CO,LTD.",Metal Products,0.41,0.463,81.76
5923.T,"TAKADAKIKO(Steel Construction)CO.,LTD.",Metal Products,0.43,0.508,65.8
1662.T,"Japan Petroleum Exploration Co.,Ltd.",Mining,0.67,0.344,77.43
1605.T,INPEX CORPORATION,Mining,0.83,0.057,61.37
1663.T,K&O Energy Group Inc.,Mining,0.97,0.386,82.52
1514.T,"Sumiseki Holdings,Inc.",Mining,1.08,0.743,96.48
1515.T,"Nittetsu Mining Co.,Ltd.",Mining,1.28,0.328,58.91
5852.T,AHRESTY CORPORATION,Nonferrous Metals,0.32,0.009,38.77
5820.T,"MITSUBOSHI CO.,LTD.",Nonferrous Metals,0.38,0.685,52.07
5851.T,RYOBI LIMITED,Nonferrous Metals,0.49,0.388,52.21
5819.T,"Canare Electric Co.,Ltd.",Nonferrous Metals,0.65,0.653,90.39
5703.T,"Nippon Light Metal Holdings Company,Ltd.",Nonferrous Metals,0.74,0.508,42.83
5858.T,"STG CO.,LTD.",Nonferrous Metals,0.75,0.611,36.43
5816.T,"Onamba Co.,Ltd.",Nonferrous Metals,0.78,0.677,66.0
5757.T,"CK SAN-ETSU Co.,Ltd.",Nonferrous Metals,0.84,0.726,60.09
5702.T,"DAIKI ALUMINIUM INDUSTRY CO.,LTD.",Nonferrous Metals,0.86,0.673,44.74
5711.T,Mitsubishi Materials Corporation,Nonferrous Metals,0.86,0.247,28.51
5707.T,"Toho Zinc Co.,Ltd.",Nonferrous Metals,0.88,5.144,10.15
5715.T,"FURUKAWA CO.,LTD.",Nonferrous Metals,0.9,0.487,50.88
5742.T,"NIC Autotec,Inc.",Nonferrous Metals,0.91,0.319,46.47
5729.T,"NIHON SEIKO CO.,LTD",Nonferrous Metals,0.95,0.623,56.99
1491.T,"Chugai Mining Co.,Ltd.",Nonferrous Metals,1.02,0.756,49.51
5817.T,"JMACS Japan Co.,Ltd.",Nonferrous Metals,1.1,0.558,54.97
5713.T,"Sumitomo Metal Mining Co.,Ltd.",Nonferrous Metals,1.12,0.256,60.15
5753.T,"NIPPON SHINDO CO.,LTD.",Nonferrous Metals,1.14,0.778,72.28
5857.T,"ARE Holdings,Inc.",Nonferrous Metals,1.19,0.858,25.77
5714.T,"DOWA HOLDINGS CO.,LTD.",Nonferrous Metals,1.23,0.415,59.15
5010.T,"NIPPON SEIRO CO.,LTD.",Oil and Coal Products,0.67,-0.211,23.37
5011.T,"NICHIREKI GROUP CO.,LTD.",Oil and Coal Products,0.75,0.516,68.81
5018.T,MORESCO Corporation,Oil and Coal Products,0.76,0.508,57.71
